model,alpha_mean,alpha_sd,prior_label,alpha_median,alpha_q05,alpha_q95,seu_rate_uncertain_mean,seu_rate_uncertain_sd,seu_rate_uncertain_q05,seu_rate_uncertain_q95,seu_rate_risky_mean,seu_rate_risky_sd,seu_rate_risky_q05,seu_rate_risky_q95,seu_rate_combined_mean,seu_rate_combined_sd,n_ok,n_failed,fail_rate
m_1,0.0,1.0,"lognormal(0.0, 1.0)",1.1023982,0.15734150450000003,5.576956184999999,0.4127166666666666,0.06824553505948616,0.3333333333333333,0.5535,0.44763333333333327,0.0958323710096611,0.34650000000000003,0.6501666666666667,0.430175,0.07892513990062566,200,0,0.0
m_1,0.0,1.5,"lognormal(0.0, 1.5)",1.157482,0.06243822990000002,13.17030915,0.4404166666666666,0.11905318022725064,0.33,0.7141666666666664,0.4829333333333334,0.15243744072022902,0.3398333333333334,0.83,0.46167499999999995,0.13347591308921622,200,0,0.0
m_1,0.0,2.0,"lognormal(0.0, 2.0)",1.2153303,0.02478390370000001,31.102465149999993,0.4719,0.16654012195931112,0.32983333333333337,0.8536666666666666,0.5132833333333333,0.1923718844957455,0.3333333333333333,0.9269999999999998,0.4925916666666666,0.17753056837720463,200,0,0.0
m_1,2.0,1.0,"lognormal(2.0, 1.0)",8.14568205,1.1626052140000003,41.2084419,0.6182166666666667,0.16265637860225463,0.3933333333333333,0.9068333333333333,0.7089333333333334,0.1679658563187438,0.42,0.95,0.663575,0.16249610230368264,200,0,0.0
m_1,2.5,1.0,"lognormal(2.5, 1.0)",13.429959,1.9168119400000003,67.94123535,0.6923333333333332,0.16666199993466482,0.42,0.9466666666666667,0.7815333333333334,0.15876846874195982,0.4728333333333333,0.9766666666666667,0.7369333333333333,0.1599891003231852,200,0,0.0
m_1,3.0,0.75,"lognormal(3.0, 0.75)",21.609050500000002,5.017273365000001,72.8922473,0.7738499999999999,0.12813972300231927,0.5486666666666667,0.9533333333333334,0.8586833333333334,0.10795312640215661,0.5963333333333334,0.98,0.8162666666666667,0.11531565856860514,200,0,0.0
m_1,3.0,1.0,"lognormal(3.0, 1.0)",22.1422595,3.1602885800000005,112.01616,0.7662333333333333,0.15639775147573787,0.47,0.9666666666666667,0.8444166666666666,0.138527148362093,0.5221666666666667,0.99,0.805325,0.1450020782897036,200,0,0.0
m_1,3.5,0.5,"lognormal(3.5, 0.5)",34.7694455,13.133707450000001,78.20405315,0.85505,0.07411251019002574,0.7161666666666667,0.9535,0.9198999999999999,0.052825614578114986,0.8228333333333334,0.9801666666666666,0.887475,0.06030040019675566,200,0,0.0
m_1,3.5,0.75,"lognormal(3.5, 0.75)",35.627301,8.272085245000001,120.1790005,0.8436499999999999,0.1069598042360878,0.6361666666666668,0.97,0.9079333333333333,0.08224864740529171,0.7066666666666667,0.9901666666666666,0.8757916666666667,0.09223564891383133,200,0,0.0
m_1,3.5,1.0,"lognormal(3.5, 1.0)",36.506414,5.210435005000001,184.683426,0.8308833333333334,0.13664450125132085,0.5393333333333333,0.9768333333333333,0.89375,0.11134777226729276,0.5863333333333334,0.9934999999999999,0.8623166666666668,0.12178427991055879,200,0,0.0
m_1,4.0,0.5,"lognormal(4.0, 0.5)",57.325124,21.6538224,128.9366875,0.9083166666666667,0.05276783268873819,0.8130000000000001,0.9701666666666666,0.9513666666666666,0.03442252169728418,0.8863333333333334,0.9933333333333333,0.9298416666666667,0.040674042193189174,200,0,0.0
m_1,4.0,0.75,"lognormal(4.0, 0.75)",58.73949,13.638363250000003,198.1416715,0.8971999999999999,0.0816445140022688,0.743,0.9801666666666666,0.9423666666666667,0.058437611556637424,0.8228333333333334,0.9966666666666667,0.9197833333333334,0.06782541108529229,200,0,0.0
